return_col,n_days,mean_daily,vol_daily,tstat_naive_daily,ann_sharpe_naive,cumulative_return,max_drawdown,win_rate,tstat_hac_daily_mean,horizon_days,model,rebalance_variant,calendar_year,cost_bps,net_or_gross,period
net_abnormal_return_cost_10p0bps,250,0.0003425076418127,0.0072695516619247,0.7449594655296206,0.7479333674361878,0.082252301234116,-0.0688282076580661,0.524,0.847504975879905,5,lightgbm,twice_weekly_mon_thu,2022,10.0,net,2022
net_abnormal_return_cost_10p0bps,250,4.276832526287189e-05,0.00815357635367,0.0829361949132407,0.0832672788440967,0.0022786199352717,-0.106786289582182,0.492,0.0852230120686939,5,lightgbm,twice_weekly_mon_thu,2023,10.0,net,2023
net_abnormal_return_cost_10p0bps,252,0.0007220409086853,0.0088469587354424,1.2955914487156177,1.2955914487156177,0.1878218060396126,-0.1180349877346897,0.5357142857142857,1.2746291526895954,5,lightgbm,twice_weekly_mon_thu,2024,10.0,net,2024
net_abnormal_return_cost_10p0bps,250,0.0003796744718659,0.0074500912335724,0.8057861728642491,0.8090028969232728,0.0919879528394616,-0.0588218009913035,0.516,0.91720249876742,5,lightgbm,weekly_first,2022,10.0,net,2022
net_abnormal_return_cost_10p0bps,250,-7.102158878663162e-05,0.0088766911260875,-0.1265054626884482,-0.1270104765235471,-0.0273725168180548,-0.1635011394221346,0.508,-0.1276012781807186,5,lightgbm,weekly_first,2023,10.0,net,2023
net_abnormal_return_cost_10p0bps,252,0.0007591757761766,0.009581158860803,1.2578375962630963,1.2578375962630963,0.1969452677174918,-0.1106582927631724,0.5555555555555556,1.2012704647091677,5,lightgbm,weekly_first,2024,10.0,net,2024
net_abnormal_return_cost_10p0bps,250,0.0002389935635758,0.0071155265110862,0.5310668197514461,0.5331868554055345,0.0549150040140875,-0.1152161111499887,0.484,0.525283360479114,10,lightgbm,twice_weekly_mon_thu,2022,10.0,net,2022
net_abnormal_return_cost_10p0bps,250,-0.0003333297718316,0.0058067363678549,-0.9076366001110144,-0.9112599143186154,-0.0838200298395609,-0.1428111896015104,0.468,-0.94677576788885,10,lightgbm,twice_weekly_mon_thu,2023,10.0,net,2023
net_abnormal_return_cost_10p0bps,252,0.0008862541521819,0.0084789126994349,1.65927507560833,1.6592750756083303,0.2389491378371901,-0.071599142902735,0.5476190476190477,1.6290775260632149,10,lightgbm,twice_weekly_mon_thu,2024,10.0,net,2024
net_abnormal_return_cost_10p0bps,250,0.0002414705138229,0.0070527527973008,0.5413466439259891,0.5435077169655009,0.0556769417796938,-0.1292314560966365,0.492,0.5324692296799853,10,lightgbm,daily,2022,10.0,net,2022
net_abnormal_return_cost_10p0bps,250,-0.0004014245284811,0.006006439504485,-1.05671239817836,-1.060930827718552,-0.0995673054580773,-0.1488694081347413,0.484,-1.0746158734199032,10,lightgbm,daily,2023,10.0,net,2023
net_abnormal_return_cost_10p0bps,252,0.0007212971851117,0.0076615546525982,1.4945057965717057,1.4945057965717057,0.1904970040996469,-0.0684615296644607,0.5158730158730159,1.4901177441130389,10,lightgbm,daily,2024,10.0,net,2024
net_abnormal_return_cost_10p0bps,250,0.0003991091702022,0.0071073365672939,0.8878811358861095,0.8914255856514932,0.0979851989379112,-0.0618620076223818,0.52,1.0238545467507234,5,lightgbm,daily,2022,10.0,net,2022
net_abnormal_return_cost_10p0bps,250,0.0002123975182447,0.0064658060301327,0.5193938109885572,0.5214672476199851,0.0490604359284525,-0.097058509233886,0.5,0.5203081570405999,5,lightgbm,daily,2023,10.0,net,2023
net_abnormal_return_cost_10p0bps,252,-5.267047849576013e-05,0.00783248889419,-0.1067499662626466,-0.1067499662626466,-0.0207495569735166,-0.1318377821037477,0.503968253968254,-0.105146500416955,5,lightgbm,daily,2024,10.0,net,2024
